,,CAMPUS ROUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,12,,,,13,,,,14,,,,15,,,,16,,,,17,,,,18,,,,19,,,,20,,,,21,,,,22,,,,23,,,,0,,,
,,Location,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4
1,1,Tamimi Supermarket,-,-,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45
2,2,KMC Clinic,-,-,06:32,06:47,07:02,07:17,07:32,07:47,08:02,08:17,08:32,08:47,09:02,09:17,09:32,09:47,10:02,10:17,10:32,10:47,11:02,11:17,11:32,11:47,12:02,12:17,12:32,12:47,13:02,13:17,13:32,13:47,14:02,14:17,14:32,14:47,15:02,15:17,15:32,15:47,16:02,16:17,16:32,16:47,17:02,17:17,17:32,17:47,18:02,18:17,18:32,18:47,19:02,19:17,19:32,19:47,20:02,20:17,20:32,20:47,21:02,21:17,21:32,21:47,22:02,22:17,22:32,22:47,23:02,23:17,23:32,23:47,00:02,00:17,00:32,00:47
3,3,Building 16,-,-,06:35,06:50,07:05,07:20,07:35,07:50,08:05,08:20,08:35,08:50,09:05,09:20,09:35,09:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:35,12:50,13:05,13:20,13:35,13:50,14:05,14:20,14:35,14:50,15:05,15:20,15:35,15:50,16:05,16:20,16:35,16:50,17:05,17:20,17:35,17:50,18:05,18:20,18:35,18:50,19:05,19:20,19:35,19:50,20:05,20:20,20:35,20:50,21:05,21:20,21:35,21:50,22:05,22:20,22:35,22:50,23:05,23:20,23:35,23:50,00:05,00:20,00:35,00:50
4,4,Building 14,-,-,06:38,06:53,07:08,07:23,07:38,07:53,08:08,08:23,08:38,08:53,09:08,09:23,09:38,09:53,10:08,10:23,10:38,10:53,11:08,11:23,11:38,11:53,12:08,12:23,12:38,12:53,13:08,13:23,13:38,13:53,14:08,14:23,14:38,14:53,15:08,15:23,15:38,15:53,16:08,16:23,16:38,16:53,17:08,17:23,17:38,17:53,18:08,18:23,18:38,18:53,19:08,19:23,19:38,19:53,20:08,20:23,20:38,20:53,21:08,21:23,21:38,21:53,22:08,22:23,22:38,22:53,23:08,23:23,23:38,23:53,00:08,00:23,00:38,00:53
5,5,Building 18,-,-,06:40,06:55,07:10,07:25,07:40,07:55,08:10,08:25,08:40,08:55,09:10,09:25,09:40,09:55,10:10,10:25,10:40,10:55,11:10,11:25,11:40,11:55,12:10,12:25,12:40,12:55,13:10,13:25,13:40,13:55,14:10,14:25,14:40,14:55,15:10,15:25,15:40,15:55,16:10,16:25,16:40,16:55,17:10,17:25,17:40,17:55,18:10,18:25,18:40,18:55,19:10,19:25,19:40,19:55,20:10,20:25,20:40,20:55,21:10,21:25,21:40,21:55,22:10,22:25,22:40,22:55,23:10,23:25,23:40,23:55,00:10,00:25,00:40,00:55
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
