,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,12,,,,13,,,,14,,,,15,,,,16,,,,17,,,,18,,,,19,,,,20,,,,21,,,,22,,,,23,,,,0,,,
,,Location,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4,Trip 1,Trip 2,Trip 3,Trip 4
,1,Tamimi Supermarket,-,-,06:50,-,07:20,-,07:50,-,08:20,-,08:50,-,09:20,-,09:50,-,10:20,-,10:50,-,11:20,-,11:50,-,12:20,-,12:50,-,13:20,-,13:50,-,14:20,-,14:50,-,15:20,-,15:50,-,16:20,-,16:50,-,17:20,-,17:50,-,18:20,-,18:50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,2,Building 16,-,-,06:53,-,07:23,-,07:53,-,08:23,-,08:53,-,09:23,-,09:53,-,10:23,-,10:53,-,11:23,-,11:53,-,12:23,-,12:53,-,13:23,-,13:53,-,14:23,-,14:53,-,15:23,-,15:53,-,16:23,-,16:53,-,17:23,-,17:53,-,18:23,-,18:53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,3,Chemical Whse,-,-,06:57,-,07:27,-,07:57,-,08:27,-,08:57,-,09:27,-,09:57,-,10:27,-,10:57,-,11:27,-,11:57,-,12:27,-,12:57,-,13:27,-,13:57,-,14:27,-,14:57,-,15:27,-,15:57,-,16:27,-,16:57,-,17:27,-,17:57,-,18:27,-,18:57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,4,CSAB,-,-,06:59,-,07:29,-,07:59,-,08:29,-,08:59,-,09:29,-,09:59,-,10:29,-,10:59,-,11:29,-,11:59,-,12:29,-,12:59,-,13:29,-,13:59,-,14:29,-,14:59,-,15:29,-,15:59,-,16:29,-,16:59,-,17:29,-,17:59,-,18:29,-,18:59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,5,Transport Bldg. 1,-,-,-,-,07:01,-,07:31,-,08:01,-,08:31,-,09:01,-,09:31,-,10:01,-,10:31,-,11:01,-,11:31,-,12:01,-,12:31,-,13:01,-,13:31,-,14:01,-,14:31,-,15:01,-,15:31,-,16:01,-,16:31,-,17:01,-,17:31,-,18:01,-,18:31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,6,CPU,-,-,-,-,07:02,-,07:32,-,08:02,-,08:32,-,09:02,-,09:32,-,10:02,-,10:32,-,11:02,-,11:32,-,12:02,-,12:32,-,13:02,-,13:32,-,14:02,-,14:32,-,15:02,-,15:32,-,16:02,-,16:32,-,17:02,-,17:32,-,18:02,-,18:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,7,Security Building,-,-,-,-,07:04,-,07:34,-,08:04,-,08:34,-,09:04,-,09:34,-,10:04,-,10:34,-,11:04,-,11:34,-,12:04,-,12:34,-,13:04,-,13:34,-,14:04,-,14:34,-,15:04,-,15:34,-,16:04,-,16:34,-,17:04,-,17:34,-,18:04,-,18:34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,8,Building 14,-,-,-,-,07:07,-,07:37,-,08:07,-,08:47,-,09:07,-,09:37,-,10:07,-,10:37,-,11:07,-,11:37,-,12:07,-,12:37,-,13:07,-,13:37,-,14:07,-,14:37,-,15:07,-,15:37,-,16:07,-,16:37,-,17:07,-,17:37,-,18:07,-,18:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,9,Building 18,-,-,-,-,07:09,-,07:39,-,08:09,-,08:49,-,09:09,-,09:39,-,10:09,-,10:39,-,11:09,-,11:39,-,12:09,-,12:39,-,13:09,-,13:39,-,14:09,-,14:39,-,15:09,-,15:39,-,16:09,-,16:39,-,17:09,-,17:39,-,18:09,-,18:39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,10,KMC (Clinic),-,-,-,-,07:11,-,07:41,-,08:11,-,08:51,-,09:11,-,09:41,-,10:11,-,10:41,-,11:11,-,11:41,-,12:11,-,12:41,-,13:11,-,13:41,-,14:11,-,14:41,-,15:11,-,15:41,-,16:11,-,16:41,-,17:11,-,17:41,-,18:11,-,18:41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,11,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,12,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,13,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,14,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,15,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,16,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,17,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,18,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,19,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,20,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,21,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,22,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,23,<-- Select from 1 to 10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
