trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
BLD1,06:20:00,06:20:00,TAMIMI,1,,
BLD1,06:21:00,06:21:00,HARBOR_EAST,2,,
BLD1,06:22:00,06:22:00,G-3961,3,,
BLD1,06:23:00,06:23:00,HRC,4,,
BLD1,06:24:00,06:24:00,H-4207A,5,,
BLD1,06:26:00,06:26:00,I-5231,6,,
BLD1,06:27:00,06:27:00,I-5244,7,,
BLD1,06:28:00,06:28:00,I-5318,8,,
BLD1,06:29:00,06:29:00,I-5551,9,,
BLD1,06:30:00,06:30:00,I-5567,10,,
BLD1,06:31:00,06:31:00,OASIS,11,,
BLD1,06:32:00,06:32:00,I-5748,12,,
BLD1,06:33:00,06:33:00,I-5764,13,,
BLD1,06:34:00,06:34:00,AL_MARSA,14,,
BLD1,06:35:00,06:35:00,H-4104,15,,
BLD1,06:36:00,06:36:00,H-4113A,16,,
BLD1,06:37:00,06:37:00,H-4119,17,,
BLD1,06:38:00,06:38:00,GRAND_MOSQUE,18,,
BLD1,06:40:00,06:40:00,BUILDING_18_1,19,,
BLD1,06:42:00,06:42:00,BUILDING_14_1,20,,
BLD1,06:45:00,06:45:00,BUILDING_16,21,,
BLD1,06:47:00,06:47:00,CLINIC,22,,
ORD1,06:25:00,06:25:00,TAMIMI,1,,
ORD1,06:27:00,06:27:00,HES,2,,
ORD1,06:28:00,06:28:00,I-5202,3,,
ORD1,06:29:00,06:29:00,I-5511,4,,
ORD1,06:30:00,06:30:00,I-5605,5,,
ORD1,06:32:00,06:32:00,I-522M,6,,
ORD1,06:33:00,06:33:00,I-535M,7,,
ORD1,06:34:00,06:34:00,I-548M,8,,
ORD1,06:35:00,06:35:00,IRC,9,,
ORD1,06:36:00,06:36:00,I-5716,10,,
ORD1,06:37:00,06:37:00,I-5732,11,,
ORD1,06:38:00,06:38:00,I-5630,12,,
ORD1,06:39:00,06:39:00,I-5614,13,,
ORD1,06:40:00,06:40:00,I-5529,14,,
ORD1,06:41:00,06:41:00,H-4206A,15,,
ORD1,06:42:00,06:42:00,KAUST_INN,16,,
ORD1,06:43:00,06:43:00,BUILDING_18_1,17,,
ORD1,06:45:00,06:45:00,BUILDING_14_1,18,,
ORD1,06:48:00,06:48:00,BUILDING_16,19,,
ORD1,06:50:00,06:50:00,CLINIC,20,,
GRD1,06:20:00,06:20:00,TAMIMI,1,,
GRD1,06:21:00,06:21:00,G-3727,2,,
