stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
BUILDING_14,Building 14,,22.3067355,39.1064616,,,
CLINIC,Clinic,,22.3146615,39.1058203,,,
BUILDING_18,Building 18,,22.3107992,39.1019927,,,
TAMIMI,Tamimi,,22.3150362,39.1050146,,,
G-1507,G-1507,,22.3212992,39.107038,,,
BUILDING_16,Building 16,,22.3100123,39.1055171,,,
G-1553,G-1553,,22.3263424,39.1085745,,,
G-1616,G-1616,,22.3217516,39.1061058,,,
G-1626,G-1626,,22.3234812,39.105893,,,
G-1769,G-1769,,22.3280336,39.1070144,,,
G-1840,G-1840,,22.3246414,39.1043801,,,
G-1881,G-1881,,22.3278202,39.105332,,,
G-2134,G-2134,,22.3253799,39.1038506,,,
G-3612,G-3612,,22.3176689,39.104783,,,
G-3640,G-3640,,22.3202136,39.1061799,,,
G-3655,G-3655,,22.3192974,39.1051917,,,
G-1427,G-1427,,22.3236671,39.1077298,,,
G-1531,G-1531,,22.3235172,39.1067415,,,
TRANSPORT_BU,Transport Building 1,,22.3068173,39.1215558,,,
BUILDING_18_1,Building 18,,22.3106889,39.1021097,,,
BUILDING_14_1,Building 14,,22.3067958,39.1063788,,,
CSOB,CSOB,,22.3065093,39.1190932,,,
CENTRAL_PROD,Central Production Unit,,22.3048171,39.1205853,,,
SECURITY_BUI,Security Building & ID Office,,22.3056458,39.1185957,,,
CHEMICAL_WAR,Chemical Warehouse,,22.3060155,39.1152383,,,
GARDENS_SCHO,Gardens School,,22.3235075,39.1100757,,,
G-3151,G-3151,,22.3164898,39.1086796,,,
G-3176,G-3176,,22.3179733,39.1104274,,,
G-1026,G-1026,,22.3237811,39.112755,,,
G-1141,G-1141,,22.32345,39.1119254,,,
G-1235,G-1235,,22.3237217,39.1111625,,,
G-3106,G-3106,,22.3150113,39.107482,,,
G-3170,G-3170,,22.3178515,39.1100179,,,
G-3175,G-3175,,22.3179061,39.1100631,,,
G-3194,G-3194,,22.319247,39.1103662,,,
G-3217,G-3217,,22.3205769,39.1125363,,,
G-3382,G-3382,,22.3202334,39.1096978,,,
G-3452,G-3452,,22.3188437,39.1092055,,,
G-3045,G-3045,,22.3163998,39.1099014,,,
HRC,HRC,,22.3151238,39.0999675,,,
H-4113A,H-4113A,,22.3101853,39.0973291,,,
H-4119,H-4119,,22.3115515,39.0981544,,,
H-4207A,H-4207A,,22.3140398,39.0977302,,,
HARBOR_EAST,Harbor East,,22.3160898,39.1034363,,,
AL_MARSA,Al Marsa,,22.305239,39.0972785,,,
G-3961,G-3961,,22.314626,39.1019968,,,
H-4104,H-4104,,22.3069333,39.0964404,,,
I-5231,I-5231,,22.3155318,39.0971472,,,
I-5244,I-5244,,22.3146286,39.096286,,,
I-5318,I-5318,,22.3129045,39.0964222,,,
I-5567,I-5567,,22.3094735,39.0948574,,,
I-5748,I-5748,,22.3082909,39.0931024,,,
I-5764,I-5764,,22.3064287,39.0946219,,,
GRAND_MOSQUE,Grand Mosque,,22.3116594,39.1005626,,,
I-5551,I-5551,,22.3112666,39.0954288,,,
OASIS,Oasis,,22.3082504,39.0941834,,,
G-1427_1,G-1427,,22.3229063,39.1076366,,,
G-1317,G-1317,,22.3235563,39.1103008,,,
G-1364,G-1364,,22.3263155,39.1107021,,,
G-1164,G-1164,,22.3280745,39.1119891,,,
G-1174,G-1174,,22.3294865,39.1121979,,,
G-1250,G-1250,,22.3268273,39.1114145,,,
G-1785,G-1785,,22.3278308,39.1089427,,,
G-2014,G-2014,,22.3292533,39.1083694,,,
G-2261,G-2261,,22.3299975,39.108563,,,
G-3417,G-3417,,22.3174336,39.1072665,,,
G-3443,G-3443,,22.3195638,39.1086685,,,
G-3446,G-3446,,22.3197134,39.107788,,,
G-3831,G-3831,,22.3170361,39.106028,,,
G-1445,G-1445,,22.3247382,39.1091857,,,
G-1660,G-1660,,22.3270165,39.1094786,,,
G-2277,G-2277,,22.3298252,39.1107254,,,
G-3727,G-3727,,22.3172943,39.1036371,,,
G-3770,G-3770,,22.3203375,39.1032972,,,
G-2141,G-2141,,22.3272235,39.1047334,,,
G-1433,G-1433,,22.3242627,39.1078719,,,
G-1705,G-1705,,22.3212676,39.1050451,,,
G-1749,G-1749,,22.3265934,39.1055014,,,
G-1811,G-1811,,22.3227647,39.1042318,,,
G-2237,G-2237,,22.3289854,39.1054936,,,
G-2307,G-2307,,22.3245392,39.1027361,,,
G-2323,G-2323,,22.3261752,39.1030658,,,
G-2341,G-2341,,22.3277603,39.1031331,,,
G-3749,G-3749,,22.3184963,39.1029801,,,
G-3754,G-3754,,22.3186319,39.1033019,,,
G-3805,G-3805,,22.3198102,39.1041297,,,
G-2357,G-2357,,22.3290851,39.1044324,,,
BEACH,Beach,,22.2933722,39.0906187,,,
WSC,WSC,,22.289725,39.0931726,,,
CLINIC_1,Clinic,,22.3139635,39.1068916,,,
IRC,IRC,,22.3165192,39.0924748,,,
CINEMA,Cinema,,22.3128479,39.1016146,,,
RACQUET_CLUB,Racquet club,,22.3264884,39.1045077,,,
GOLF,Golf,,22.3244338,39.1166811,,,
I-5716,I-5716,,22.3133479,39.093047,,,
I-5614,I-5614,,22.3130734,39.0940889,,,
H-4206A,H-4206A,,22.3140499,39.0979159,,,
HES,HES,,22.3167605,39.1005734,,,
I-5202,I-5202,,22.317057,39.0974219,,,
I-522M,I-522M,,22.3200492,39.0935909,,,
I-535M,I-535M,,22.3236919,39.0937054,,,
I-548M,I-548M,,22.3222517,39.0923142,,,
