trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
BL1D,06:20:00,06:20:00,TAMIMI,1,,
BL1D,06:21:00,06:21:00,HARBOR_EAST,2,,
BL1D,06:22:00,06:22:00,G-3961,3,,
BL1D,06:23:00,06:23:00,HRC,4,,
BL1D,06:24:00,06:24:00,H-4207A,5,,
BL1D,06:26:00,06:26:00,I-5231,6,,
BL1D,06:27:00,06:27:00,I-5244,7,,
BL1D,06:28:00,06:28:00,I-5318,8,,
BL1D,06:29:00,06:29:00,I-5551,9,,
BL1D,06:30:00,06:30:00,I-5567,10,,
BL1D,06:31:00,06:31:00,OASIS,11,,
BL1D,06:32:00,06:32:00,I-5748,12,,
BL1D,06:33:00,06:33:00,I-5764,13,,
BL1D,06:34:00,06:34:00,AL_MARSA,14,,
BL1D,06:35:00,06:35:00,H-4104,15,,
BL1D,06:36:00,06:36:00,H-4113A,16,,
BL1D,06:37:00,06:37:00,H-4119,17,,
BL1D,06:38:00,06:38:00,GRAND_MOSQUE,18,,
BL1D,06:40:00,06:40:00,BUILDING_18,19,,
BL1D,06:42:00,06:42:00,BUILDING_14,20,,
BL1D,06:45:00,06:45:00,BUILDING_16,21,,
BL1D,06:47:00,06:47:00,CLINIC,22,,
OR1D,06:25:00,06:25:00,HES,1,,
OR1D,06:27:00,06:27:00,I-5202,2,,
OR1D,06:28:00,06:28:00,I-5511,3,,
OR1D,06:29:00,06:29:00,I-5605,4,,
OR1D,06:30:00,06:30:00,I-522M,5,,
OR1D,06:32:00,06:32:00,I-535M,6,,
OR1D,06:33:00,06:33:00,I-548M,7,,
OR1D,06:34:00,06:34:00,IRC,8,,
OR1D,06:35:00,06:35:00,I-5716,9,,
OR1D,06:36:00,06:36:00,I-5732,10,,
OR1D,06:37:00,06:37:00,I-5630,11,,
OR1D,06:38:00,06:38:00,I-5614,12,,
OR1D,06:39:00,06:39:00,H-4206A,13,,
OR1D,06:40:00,06:40:00,KAUST_INN,14,,
OR1D,06:41:00,06:41:00,BUILDING_18,15,,
OR1D,06:42:00,06:42:00,BUILDING_14,16,,
OR1D,06:43:00,06:43:00,BUILDING_16,17,,
OR1D,06:45:00,06:45:00,CLINIC,18,,
OR1D,06:48:00,06:48:00,,19,,
OR1D,06:50:00,06:50:00,,20,,
GR1D,06:20:00,06:20:00,TAMIMI,1,,
GR1D,06:21:00,06:21:00,G-3727,2,,
GR1D,06:22:00,06:22:00,G-3749,3,,
GR1D,06:23:00,06:23:00,G-3770,4,,
GR1D,06:24:00,06:24:00,G-1811,5,,
GR1D,06:25:00,06:25:00,G-2307,6,,
GR1D,06:26:00,06:26:00,G-2323,7,,
GR1D,06:27:00,06:27:00,G-2341,8,,
GR1D,06:28:00,06:28:00,G-2357,9,,
GR1D,06:29:00,06:29:00,G-2237,10,,
GR1D,06:30:00,06:30:00,G-2141,11,,
GR1D,06:31:00,06:31:00,G-1749,12,,
GR1D,06:32:00,06:32:00,G-1433,13,,
GR1D,06:33:00,06:33:00,G-1705,14,,
GR1D,06:34:00,06:34:00,G-3805,15,,
GR1D,06:35:00,06:35:00,G-3754,16,,
GR1D,06:36:00,06:36:00,CLINIC,17,,
GR1D,06:38:00,06:38:00,BUILDING_16,18,,
GR1D,06:40:00,06:40:00,BUILDING_14_1,19,,
GR1D,06:43:00,06:43:00,BUILDING_18_1,20,,
GR1D,06:45:00,06:45:00,,21,,
GY1D,06:25:00,06:25:00,TAMIMI,1,,
GY1D,06:26:00,06:26:00,G-3417,2,,
GY1D,06:27:00,06:27:00,G-3443,3,,
GY1D,06:29:00,06:29:00,G-1317,4,,
GY1D,06:30:00,06:30:00,G-1364,5,,
GY1D,06:31:00,06:31:00,G-1250,6,,
GY1D,06:32:00,06:32:00,G-1164,7,,
GY1D,06:33:00,06:33:00,G-1174,8,,
GY1D,06:34:00,06:34:00,G-2277,9,,
GY1D,06:35:00,06:35:00,G-2261,10,,
GY1D,06:36:00,06:36:00,G-2014,11,,
GY1D,06:37:00,06:37:00,G-1785,12,,
GY1D,06:38:00,06:38:00,G-1660,13,,
GY1D,06:39:00,06:39:00,G-1445,14,,
GY1D,06:40:00,06:40:00,G-1427_1,15,,
GY1D,06:41:00,06:41:00,G-3446,16,,
GY1D,06:42:00,06:42:00,G-3831,17,,
GY1D,06:44:00,06:44:00,CLINIC,18,,
GY1D,06:46:00,06:46:00,BUILDING_16,19,,
GY1D,06:49:00,06:49:00,BUILDING_14_1,20,,
GY1D,06:51:00,06:51:00,BUILDING_18_1,21,,
PU1D,06:30:00,06:30:00,TAMIMI,1,,
PU1D,06:32:00,06:32:00,G-3151,2,,
PU1D,06:33:00,06:33:00,G-3170,3,,
PU1D,06:34:00,06:34:00,G-3194,4,,
PU1D,06:35:00,06:35:00,G-3217,5,,
